序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201809),净利润(201809),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
910,2444,巨星科技,杭州巨星科技股份有限公司,杭州市,江干区,424201.04,56610.58,4862,2010-07-13,--,,金属制品,手工具、手持式电动工具、智能产品,五金工具的生产销售及进出口业务
911,2445,ST中南,中南红文化集团股份有限公司,无锡市,江阴市,86597.13,-2357.12,980,2010-07-13,--,,影视,文化传媒、金属制造,管件、法兰、管系和压力容器的研发、生产和销售
912,2446,盛路通信,广东盛路通信科技股份有限公司,佛山市,三水区,100048.62,12121.77,2246,2010-07-13,--,,通信传输设备,通信设备、汽车电子、军工电子,通信设备的生产和销售，提供通讯工程建设劳务。
913,2447,晨鑫科技,大连晨鑫网络科技股份有限公司,大连市,瓦房店市,21367.13,6549.78,112,2010-07-13,--,,海洋渔业,围堰海参、海参加工品,移动游戏业务。
914,2448,中原内配,中原内配集团股份有限公司,焦作市,孟州市,120522.51,19644.69,4110,2010-07-16,--,,汽车零部件,气缸套,内燃机气缸套的研制、开发、制造、销售及技术服务
915,2449,国星光电,佛山市国星光电股份有限公司,佛山市,禅城区,279608.0,38347.52,5059,2010-07-16,--,,LED,半导体发光二极管(LED)及其应用产品,从事SMDLED器件及组件的的研发、生产和销售
916,2450,康得新,康得新复合材料集团股份有限公司,苏州市,张家港市,1083474.96,220143.6,4081,2010-07-16,--,,化学新材料,制造业,从事先进高分子材料的研发、生产和销售
917,2451,摩恩电气,上海摩恩电气股份有限公司,上海市,浦东新区,43700.03,597.89,158,2010-07-20,--,,电线电缆,电缆、类金融,电线电缆、风电塔筒和租赁保理
918,2452,长高集团,湖南长高高压开关集团股份公司,长沙市,长沙市,57909.39,-3326.33,1605,2010-07-20,--,,其他输变电设备,高压隔离开关及接地开关、断路器及组合电器、成套、电气二次设备、房产、耐磨材料、机电设备、电动车高压配电箱总成、新能源汽车出租、服务、工程施工、设计、房屋租赁,高压隔离开关及接地开关的生产和销售
919,2453,华软科技,金陵华软科技股份有限公司,苏州市,吴中区,142590.79,2261.28,1485,2010-07-20,--,,其他化学制品,精细化工产品 、精细化工产品、供应链管理,金融科技和供应链管理
920,2454,松芝股份,上海加冷松芝汽车空调股份有限公司,上海市,闵行区,271524.86,6571.89,3886,2010-07-20,--,,汽车零部件,车辆空调及零配件,专业从事移动式空调系统研发、生产及销售。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201809),净利润(201809),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
921,2455,百川股份,江苏百川高科新材料股份有限公司,无锡市,江阴市,223289.2,8863.04,813,2010-08-03,--,,其他化学制品,化工行业,醋酸丁酯和偏苯三酸酐的生产和销售
922,2456,欧菲科技,欧菲科技股份有限公司,深圳市,宝安区,3114644.13,137639.93,41826,2010-08-03,--,,光学元件,微摄像头模组、触摸屏和触控显示全贴合模组、指纹识别模组、智能汽车电子产品和服务,触控显示类业务、摄像通讯类业务和生物识别类业务
923,2457,青龙管业,宁夏青龙管业股份有限公司,吴忠市,青铜峡市,76429.32,3758.0,1623,2010-08-03,--,,管材,主流供排水管道产品、节水灌溉产品、燃气管道、新型节能供热管道及上述产品配套管件,各类供水、排水管道的研发、制造和销售
924,2458,益生股份,山东益生种畜禽股份有限公司,烟台市,芝罘区,94469.26,13398.44,3220,2010-08-10,--,,畜牧养殖,父母代肉种雏鸡、父母代蛋种雏鸡、商品肉雏鸡、种猪、商品猪、生物肥料以及乳品,祖代种鸡的引进与饲养、父母代种雏鸡的生产与销售、商品肉雏鸡的生产与销售、饲料的生产、种猪和商品猪的饲养和销售、奶牛的饲养与牛奶销售。
925,2459,天业通联,秦皇岛天业通联重工股份有限公司,秦皇岛市,海港区,24428.5,1344.15,708,2010-08-10,--,,工程机械,架桥机、运架一体机、运梁车、提梁机、模具,铁路桥梁施工起重运输设备的制造和销售
926,2460,赣锋锂业,江西赣锋锂业股份有限公司,新余市,渝水区,359350.1,110653.17,3327,2010-08-10,--,,稀有金属,锂化合物、金属锂、锂电池、锂电池回收,各种深加工锂产品的研究、开发、生产与销售
927,2461,珠江啤酒,广州珠江啤酒股份有限公司,广州市,海珠区,330700.81,31686.4,4197,2010-08-18,--,,啤酒,啤酒销售、酵母饲料销售、包装材料、租赁餐饮服务等,啤酒的制造、加工、销售
928,2462,嘉事堂,嘉事堂药业股份有限公司,北京市,海淀区,1316358.09,26019.3,2587,2010-08-18,--,,医药商业,医药批发、医药连锁、医药物流,医药批发、连锁零售业务，2005年公司开始经营与医药批发、零售相关的医药物流业务，在满足公司自身医药批发、零售需求的基础上，开展第三方医药物流配送业务。
929,2463,沪电股份,沪士电子股份有限公司,苏州市,昆山市,384886.6,38321.03,7580,2010-08-18,--,,印制电路板,PCB,从事单、双面及多层电路板、高密度互连积层板(HDI)、电路板组装产品、电子设备使用的连接线和连接器等产品及同类和相关产品的批发、进出口业务。
930,2464,众应互联,众应互联科技股份有限公司,苏州市,昆山市,59380.24,11460.52,116,2010-08-31,--,,电子商务B2B,游戏授权/注册码、游戏虚拟物品、返利收入、全球移动大数据流量分发、移动游戏运营服务、商品销售,为正版授权/注册码及游戏虚拟物品提供相关交易服务
931,2465,海格通信,广州海格通信集团股份有限公司,广州市,黄埔区,256708.68,25577.81,9367,2010-08-31,--,,通信传输设备,无线通信、北斗导航、泛航空、软件与信息服务,通信设备、导航设备的研制、生产、销售和服务
932,2466,天齐锂业,天齐锂业股份有限公司,遂宁市,射洪县,475884.86,168908.24,1384,2010-08-31,--,,锂,锂化合物及衍生品,锂精矿及锂化工产品的生产、加工和销售。
933,2467,二六三,二六三网络通信股份有限公司,北京市,昌平区,67542.18,6918.82,1120,2010-09-08,--,,通信运营,虚拟运营通信服务,增值通信服务、企业通信服务、海外互联网综合服务业务及其他
934,2468,申通快递,申通快递股份有限公司,台州市,玉环县,1110332.29,161064.61,14117,2010-09-08,--,,物流,快递服务、物料销售,快递服务业
935,2469,三维工程,山东三维石化工程股份有限公司,淄博市,临淄区,34055.81,3405.58,460,2010-09-08,--,,专业工程,工程咨询、工程设计、工程总承包、催化剂,工程设计及工程总承包;催化剂的生产及销售
936,2470,金正大,金正大生态工程集团股份有限公司,临沂市,临沭县,2125269.23,95440.45,8519,2010-09-08,--,,复合肥,肥料,研发、生产、销售各类农用肥料、原材料及提供相关许可范围内的资讯服务。
937,2471,中超控股,江苏中超控股股份有限公司,无锡市,宜兴市,551765.83,12026.1,3627,2010-09-10,--,,电线电缆,电力电缆、电气装备用电线电缆、裸电线、电缆材料、电缆接头、电磁线、金属材料、紫砂壶及其配件,电力电缆、电气装备用电线电缆、裸电线、电缆材料、电缆接头、电磁线的生产和销售，以及紫砂壶及其配件、金属材料的销售。
938,2472,双环传动,浙江双环传动机械股份有限公司,台州市,玉环县,232467.67,19022.53,4511,2010-09-10,--,,汽车零部件,乘用车齿轮、工程机械齿轮、商用车齿轮、钢材销售,齿轮产品的生产与销售
939,2473,*ST圣莱,宁波圣莱达电器股份有限公司,宁波市,江北区,11202.77,373.93,382,2010-09-10,--,,小家电,小家电销售、影视文化、软件服务,温控器及电热水壶的研发、生产和销售
940,2474,榕基软件,福建榕基软件股份有限公司,福州市,鼓楼区,47738.17,3036.32,1032,2010-09-15,--,,其他软件服务,系统集成、软件产品及服务、软件园租赁,电子政务、质检行业“三电工程”、信息安全、协同管理等软件产品的开发与销售、计算机系统集成及技术支持与服务。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201809),净利润(201809),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
941,2475,立讯精密,立讯精密工业股份有限公司,深圳市,宝安区,2213122.04,165704.01,54642,2010-09-15,--,,电子零部件,电脑互联产品及精密组件、汽车互联产品及精密组件、通讯互联产品及精密组件、消费性电子,连接器产品研发、生产和销售
942,2476,宝莫股份,山东宝莫生物化工股份有限公司,东营市,东营区,29890.95,-2558.82,530,2010-09-15,--,,其他化学制品,化学原料及化学制品制造业、专业技术服务业、石油和天然气开采业、环保水处理业,油气工程技术服务、油气勘探开发、油田及非油田化学品的研发、生产和销售。
943,2477,雏鹰农牧,雏鹰农牧集团股份有限公司,郑州市,新郑市,353325.06,-86882.7,3552,2010-09-15,--,,畜牧养殖,畜牧养殖业、批发零售业、生猪屠宰业、种植业,畜养殖与销售、家畜屠宰、鲜冻肉熟食以及粮食销售；小规模的对外贷款、担保业务，农牧机械、兽医机械、农业建材的生产及销售等。
944,2478,常宝股份,江苏常宝钢管股份有限公司,常州市,常州市,400154.51,36793.39,3309,2010-09-21,--,,特钢,钢压延及加工、医疗服务,钢管生产销售、医疗服务
945,2479,富春环保,浙江富春江环保热电股份有限公司,杭州市,富阳市,211105.43,17561.86,1682,2010-09-21,--,,电力,清洁电能、清洁热能、煤炭、冷轧钢卷、纸制品,发电电力业务;蒸汽、热水生产;热电技术咨询;精密冷轧薄板的生产、销售
946,2480,新筑股份,成都市新筑路桥机械股份有限公司,成都市,新津县,131089.72,1439.1,1990,2010-09-21,--,,基础件,机械制造,桥梁功能部件、轨道交通、搅拌设备、路面施工机械、特种汽车、超级电容系统等
947,2481,双塔食品,烟台双塔食品股份有限公司,烟台市,招远市,179273.59,5012.92,675,2010-09-21,--,,其他食品,农副食品,主要从事粉丝、淀粉及淀粉制品的生产、加工与销售
948,2482,广田集团,深圳广田集团股份有限公司,深圳市,罗湖区,1000631.62,46171.78,4792,2010-09-29,--,,装修装饰,工程金融、制造业、建筑装饰,建筑装饰工程的设计与施工
949,2483,润邦股份,江苏润邦重工股份有限公司,南通市,崇川区,147499.83,6576.02,1895,2010-09-29,--,,起重运输设备,物料搬运业务、海工与船舶业务,物料搬运业务(主要包括起重装备、立体停车设备等产品)以及海工与船舶业务(主要包括海洋工程装备、船舶配套装备等产品)产品的设计、研发、制造、销售及服务
950,2484,江海股份,南通江海电容器股份有限公司,南通市,通州区,137978.65,17812.63,2121,2010-09-29,--,,电子元件,电子元件、电子材料,铝电解电容器、化成箔、薄膜电容器、酚醛盖板等产品的研发、生产、销售和服务。
951,2485,希努尔,希努尔男装股份有限公司,潍坊市,诸城市,99192.4,7940.52,475,2010-10-15,--,,男装,服装,设计、生产和销售西装、衬衫及其他服饰类产品
952,2486,嘉麟杰,上海嘉麟杰纺织品股份有限公司,上海市,金山区,62434.24,1036.71,1677,2010-10-15,--,,纺织面料,面料、成衣,面向户外运动的高档织物面料及成衣的生产和销售
953,2487,大金重工,辽宁大金重工股份有限公司,阜新市,新邱区,74769.13,4665.37,522,2010-10-15,--,,金属制品,风电塔筒、火电钢结构,从事风电塔架、火电锅炉钢结构生产和销售
954,2488,金固股份,浙江金固股份有限公司,杭州市,富阳区,223793.74,12648.77,2410,2010-10-21,--,,汽车零部件,钢制车轮及组装车轮、汽车后市场业务、分布式光伏发电、高端装备设备,钢制滚型车轮的研发、生产和销售
955,2489,浙江永强,浙江永强集团股份有限公司,台州市,临海市,262783.11,-11219.18,11666,2010-10-21,--,,家具制造,休闲家具、遮阳家具、金属制品、机票旅游服务,户外休闲家具及用品的设计研发、生产和销售。
956,2490,山东墨龙,山东墨龙石油机械股份有限公司,潍坊市,寿光市,329829.3,7955.09,2680,2010-10-21,--,,矿山冶金机械,油气开采用管、流体及结构用管、抽油机、抽油泵、抽油杆、钻机用缸套、阀门散件及大型铸锻件,设计、制造及销售抽油机、抽油杆、抽油泵、油管、套管及相关石油钻采机械配件。
957,2491,通鼎互联,通鼎互联信息股份有限公司,苏州市,吴江区,333124.89,46958.2,4082,2010-10-21,--,,通信传输设备,通信线缆、软件及信息技术服务、通信设备,通信光缆、电缆的研发、生产、销售
958,2492,恒基达鑫,珠海恒基达鑫国际化工仓储股份有限公司,珠海市,金湾区,19136.34,5199.04,500,2010-11-02,--,,物流,仓储、装卸、码头,液体化工产品的码头、仓储的建设与经营；汽油、煤油、柴油和植物油产品的仓储及公共保税仓库
959,2493,荣盛石化,荣盛石化股份有限公司,杭州市,萧山区,6168233.53,176886.31,7892,2010-11-02,--,,涤纶,芳烃、PTA、聚酯切片及涤纶丝,化工品和化学纤维的开发、生产和销售
960,2494,华斯股份,华斯控股股份有限公司,沧州市,肃宁县,34735.12,1207.65,1145,2010-11-02,--,,其他服装,裘皮服饰,主要从事裘皮服装、裘皮饰品、裘皮面料、裘皮皮张的生产与销售。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201809),净利润(201809),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
961,2495,佳隆股份,广东佳隆食品股份有限公司,揭阳市,普宁市,23296.56,3117.66,490,2010-11-02,--,,调味品,调味品,鸡粉、鸡精产品的研发、生产和销售
962,2496,ST辉丰,江苏辉丰生物农业股份有限公司,盐城市,大丰区,233806.19,-24379.48,4257,2010-11-09,--,,农药,农药除草剂、杀虫剂、杀菌剂、作物调节剂,化学农药产品的研发、生产及销售
963,2497,雅化集团,四川雅化实业集团股份有限公司,雅安市,名山区,211956.16,17672.27,3663,2010-11-09,--,,民爆用品,民用爆炸物品、锂、工程爆破物品、运输产品,各类民用爆炸物品的研发、生产与销售，为客户提供特定的工程爆破解决方案及相关服务。
964,2498,汉缆股份,青岛汉缆股份有限公司,青岛市,崂山区,376177.5,14283.55,2590,2010-11-09,--,,电线电缆,电力电缆、裸电线,电线电缆及电缆附件的研发、生产、销售与安装服务
965,2499,科林环保,科林环保装备股份有限公司,苏州市,吴江区,13685.48,2231.75,113,2010-11-09,--,,环保设备,除尘产品及其他、光伏电站 EPC承包、冶金节能设备、电站运营维护及其他,布局进入光伏发电新能源领域、开拓大气污染治理、工业VOCs治理等异味治理新市场，环保除尘设备、垃圾焚烧设备、脱硫脱硝技术装置及冶金行业节能设备的设计、生产、安装及工程总承包
966,2500,山西证券,山西证券股份有限公司,太原市,杏花岭区,435078.71,11604.71,2374,2010-11-15,--,,证券,证券经纪业务、证券自营业务、资产管理业务、投资银行业务、期货经纪业务,证券经纪业务、融资融券业务、证券自营业务、证券承销业务、受托资产管理业务、商品期货经纪、金融期货经纪业务及投资与资产管理等。
967,2501,利源精制,吉林利源精制股份有限公司,辽源市,龙山区,37832.67,-95063.13,2188,2010-11-17,--,,铝,工业用材、装饰、建筑用材 、深加工用材,铝型材及深加工产品的研发、生产与销售业务
968,2502,骅威文化,骅威文化股份有限公司,汕头市,澄海区,12929.51,3343.6,289,2010-11-17,--,,影视,文教体育用品、文化教育与娱乐,从事各类玩具的设计、生产、销售，制作、发行广播剧、电视剧及手游的研发、运营。
969,2503,搜于特,搜于特集团股份有限公司,东莞市,东莞市,1519335.88,56327.21,2490,2010-11-17,--,,休闲服装,批发零售,“潮流前线”品牌服装的研发和销售、供应链管理、原材料销售
970,2504,弘高创意,北京弘高创意建筑设计股份有限公司,北京市,朝阳区,88414.69,1394.3,812,2010-11-18,--,,装修装饰,装饰装修,工程设计、景观设计、家具设计、工艺美术品设计和建筑装修装饰工程专业承包
971,2505,大康农业,湖南大康国际农业食品股份有限公司,怀化市,鹤城区,1150679.11,4232.4,4123,2010-11-18,--,,畜牧养殖,畜牧养殖业、农副食品加工、蛋白质贸易,畜禽产品养殖及销售、饲料生产及销售、屠宰、乳制品(含婴幼儿奶粉)生产、加工、进口及销售、贸易
972,2506,协鑫集成,协鑫集成科技股份有限公司,上海市,奉贤区,820375.06,-9683.04,4395,2010-11-18,--,,太阳能,太阳能行业,研发、生产和销售晶体硅太阳能电池
973,2507,涪陵榨菜,重庆市涪陵榨菜集团股份有限公司,重庆市,涪陵区,154512.95,52314.97,2431,2010-11-23,--,,其他食品,方便食品的研制,榨菜产品、榨菜酱油和其他佐餐开胃菜等方便食品的研制、生产和销售
974,2508,老板电器,杭州老板电器股份有限公司,杭州市,余杭区,539388.93,101163.31,3952,2010-11-23,--,,小家电,家电厨卫,厨房电器产品的研发、生产、销售和综合服务
975,2509,天广中茂,天广中茂股份有限公司,泉州市,南安市,209328.2,25946.42,2390,2010-11-23,--,,电梯设备,专用设备、消防工程,消防产品与消防工程业务。
976,2510,天汽模,天津汽车模具股份有限公司,天津市,东丽区,126056.06,10246.41,2972,2010-11-25,--,,其他通用机械,模具、冲压件、检具夹具、修理,从事汽车模具的设计与制造、汽车冲压件的加工等
977,2511,中顺洁柔,中顺洁柔纸业股份有限公司,中山市,中山市,408098.38,31280.91,5421,2010-11-25,--,,造纸,生活用纸,生产和销售高档生活用纸系列产品
978,2512,达华智能,中山达华智能科技股份有限公司,中山市,中山市,212620.22,-40260.83,3072,2010-12-03,--,,电子元件,卡类及电子标签、系统集成、安全印务、电视机主板及机顶盒、其他,专注于非接触式智能卡、智能电子标签和RFID读卡设备的研发、生产和销售
979,2513,蓝丰生化,江苏蓝丰生物化工股份有限公司,徐州市,新沂市,114771.88,-3522.59,2026,2010-12-03,--,,农药,农化、医药,从事杀菌剂、杀虫剂、除草剂原药及制剂、精细化工中间体产品的生产和销售业务
980,2514,宝馨科技,苏州宝馨科技实业股份有限公司,苏州市,虎丘区,58025.37,7733.68,1325,2010-12-03,--,,金属制品,设备配件、监测设备、湿化学设备、锅炉配套设备、灵活性调峰技术服务收入,运用数控钣金技术，研发、设计、生产、销售工业级数控钣金结构件产品
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201809),净利润(201809),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
981,2515,金字火腿,金字火腿股份有限公司,金华市,婺城区,32589.78,1140.81,1313,2010-12-03,--,,肉制品,医药医疗健康、火腿及肉制品,医药医疗健康产业和火腿及肉制品产业
982,2516,旷达科技,旷达科技集团股份有限公司,常州市,武进区,131095.89,22194.76,2413,2010-12-07,--,,家纺,汽车用纺织品、电力,汽车面料及光伏电力
983,2517,恺英网络,恺英网络股份有限公司,泉州市,鲤城区,173477.8,49238.28,1142,2010-12-07,--,,游戏,应用开发、游戏分发、网页网络游戏、移动网络游戏,网络游戏的开发及运营与移动应用产品分发
984,2518,科士达,深圳科士达科技股份有限公司,深圳市,南山区,180009.1,22192.57,2789,2010-12-07,--,,储能设备,新能源产品、数据中心产品,研发、生产及销售UPS、太阳能逆变器及UPS配套的阀控式密封铅酸蓄电池
985,2519,银河电子,江苏银河电子股份有限公司,苏州市,张家港市,111092.62,13188.36,2458,2010-12-07,--,,机顶盒,智能机电、新能源电动汽车零部件、数字电视智能终端,一是数字电视智能终端业务;二是智能机电设备业务;三是新能源电动汽车关键部件业务。
986,2520,日发精机,浙江日发精密机械股份有限公司,绍兴市,新昌县,89957.57,6282.67,749,2010-12-10,--,,机床设备,数控机床,数控机床的研制、生产与销售
987,2521,齐峰新材,齐峰新材料股份有限公司,淄博市,临淄区,284585.2,5291.5,1904,2010-12-10,--,,造纸,造纸业,高档装饰原纸的研发、生产和销售
988,2522,浙江众成,浙江众成包装材料股份有限公司,嘉兴市,嘉善县,77763.86,3736.69,827,2010-12-10,--,,塑料制品,POF普通型膜、POF交联膜、POF高性能膜、热塑性弹性体,多层共挤聚烯烃热收缩薄膜（简称POF热收缩膜）产品的研发、生产和销售
989,2523,天桥起重,株洲天桥起重机股份有限公司,株洲市,石峰区,87928.98,7874.82,1442,2010-12-10,--,,起重运输设备,物料搬运装备、选煤机械装备、立体停车装备,桥门式起重机产品、选煤机械产品研发、设计、制造、销售
990,2524,光正集团,光正集团股份有限公司,乌鲁木齐市,新市区,71313.9,-1077.24,886,2010-12-17,--,,钢结构,供热、天然气、钢结构,钢结构网架工程承包、轻钢结构设计、金属材料、活动板房和建筑材料的生产和销售及天然气管道运输及产品开发、热力生产和供应、危险货物运输。
991,2526,山东矿机,山东矿机集团股份有限公司,潍坊市,昌乐县,140009.98,11248.32,1740,2010-12-17,--,,矿山冶金机械,煤炭机械设备、建材机械设备、印刷设备、煤炭销售及采煤服务、网络游戏,煤机产品的研发、生产和销售
992,2527,新时达,上海新时达电气股份有限公司,上海市,嘉定区,272729.8,5201.24,2367,2010-12-24,--,,工业机器人,电梯控制类产品、节能与工业传动类产品、机器人与运动控制类产品,变频器与电梯控制系统的研发、生产及销售，机器人与运动控制类产品的研发、生产及销售
993,2528,英飞拓,深圳英飞拓科技股份有限公司,深圳市,宝安区,273428.78,6582.65,1449,2010-12-24,--,,电子零部件,民用安防、专业安防、互联网数字营销,电子安防产品的研发、设计、生产和销售。
994,2529,海源复材,福建海源复合材料科技股份有限公司,福州市,闽侯县,20803.36,617.97,841,2010-12-24,--,,其他专用机械,压机及整线装备、代购代销配套及配件、复合材料模板、工程项目,依托公司在智能装备的领先优势，向复合材料轻量化领域延展，构建了从复合材料装备、工艺、材料、模具开发、制品设计到复合材料制品生产及销售的完整产业链。
995,2530,金财互联,金财互联控股股份有限公司,盐城市,大丰区,78804.66,17583.17,2910,2010-12-31,--,,其他互联网应用,热处理、企业云服务、电子税务,热处理设备的研发、生产和销售，以及专业热处理加工服务；互联网财税服务
996,2531,天顺风能,天顺风能(苏州)股份有限公司,苏州市,太仓市,251000.87,35754.39,1238,2010-12-31,--,,风能,风电设备、风力发电,风塔及相关产品的生产和销售
997,2532,新界泵业,新界泵业集团股份有限公司,台州市,温岭市,111384.9,11166.29,2631,2010-12-31,--,,其他通用机械,水泵、智能成套供水设备、空压机、配件等其他产品、污水处理系统,农用水泵的研发、生产和销售
998,2533,金杯电工,金杯电工股份有限公司,长沙市,岳麓区,348597.75,11057.67,2475,2010-12-31,--,,电线电缆,冷链物流、传统线缆、新能源汽车,"电磁线、电力电缆、裸导线、电气装备用电线、特种电线电缆,新能源汽车动力电池,新能源汽车租赁。"
999,2534,杭锅股份,杭州锅炉集团股份有限公司,杭州市,江干区,250876.03,19179.55,1825,2011-01-10,--,,锅炉,锅炉制造,余热锅炉、电站锅炉、电站辅机、工业锅炉等产品咨询、研发、生产、销售、安装及工程总承包业务，为客户提供节能环保发电设备以及余热利用整体解决方案。
1000,2535,林州重机,林州重机集团股份有限公司,安阳市,林州市,165966.68,7359.33,2544,2011-01-11,--,,矿山冶金机械,矿山机械行业、生铁及铁精粉、矿建工程服务,煤矿机械、防爆电器、机器人产品制造、销售、维修及租赁服务;煤炭销售;矿建工程服务和生铁及铁精粉业务
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201809),净利润(201809),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1001,2536,西泵股份,河南省西峡汽车水泵股份有限公司,南阳市,西峡县,212571.76,18769.88,3558,2011-01-11,--,,汽车零部件,汽车零部件,汽车零部件及其机械产品的研发、制造、销售。
1002,2537,海联金汇,海联金汇科技股份有限公司,青岛市,即墨区,367060.65,28838.97,3576,2011-01-10,--,,汽车零部件,金融科技、智能制造,汽车及汽车配件制造、家电配件制造、电机及配件制造
1003,2538,司尔特,安徽省司尔特肥业股份有限公司,宣城市,宁国市,219197.89,18611.78,3014,2011-01-18,--,,复合肥,化学肥料,从事高浓度磷复肥、测土配方专用肥及水溶肥产品研发、生产和销售
1004,2539,云图控股,成都云图控股股份有限公司,成都市,新都区,593137.45,14087.13,11018,2011-01-18,--,,复合肥,化肥、化工、品种盐、川菜调味品,复合肥、调味品（品种盐及川菜调味品）及农村电商
1005,2540,亚太科技,江苏亚太轻合金科技股份有限公司,无锡市,滨湖区,262151.07,28953.25,2686,2011-01-18,--,,铝,管材类、型材类、棒材类、铸棒类、其他铝制品,精密铝管、专用型材和高精度棒材等汽车铝挤压材及其他工业铝挤压材的研发、生产和销售
1006,2541,鸿路钢构,安徽鸿路钢结构(集团)股份有限公司,合肥市,合肥市,516313.73,33278.98,7027,2011-01-18,--,,钢结构,钢结构件、围护产品,钢结构产品加工制造、新型建材产品生产销售、钢结构工程承包、智能立体车库生产销售、钢结构绿色建筑的设计生产施工一体化服务
1007,2542,中化岩土,中化岩土集团股份有限公司,北京市,大兴区,231828.44,16268.07,2539,2011-01-28,--,,专业工程,地基处理服务,工程服务
1008,2543,万和电气,广东万和新电气股份有限公司,佛山市,顺德区,529161.94,36858.72,5487,2011-01-28,--,,小家电,生活热水、厨房电器,围绕生活热水供应和燃气具的主线，研发、制造、销售燃气热水器、电热水器、混合动力热水系统及燃气具、吸油烟机、消毒碗柜等产品
1009,2544,杰赛科技,广州杰赛科技股份有限公司,广州市,海珠区,331963.34,4192.37,6820,2011-01-28,--,,通信配套服务,信息网络建设提供综合解决方案服务、信息网络产品,面向信息网络建设提供综合解决方案服务及相关信息网络产品。
1010,2545,东方铁塔,青岛东方铁塔股份有限公司,青岛市,胶州市,149704.55,21794.09,2270,2011-02-11,--,,钢结构,钢结构、角钢塔、钢管塔、建筑安装、氯化钾 、发电,钢结构与钾肥业务
1011,2546,新联电子,南京新联电子股份有限公司,南京市,江宁区,46421.35,10382.49,1314,2011-02-11,--,,用电信息采集系统、机柜制造,用电信息采集系统、机柜制造,用电信息采集系统及设备的研发、生产和销售
1012,2547,春兴精工,苏州春兴精工股份有限公司,苏州市,吴中区,361144.86,4415.69,8739,2011-02-18,--,,电子零部件,精密铝合金结构件、移动通信射频器件、冲压钣金件、无线终端业务,精密轻金属结构件、移动通信射频器件、消费电子产品塑胶结构件以及冲压钣金件的研发和制造业务
1013,2548,金新农,深圳市金新农科技股份有限公司,深圳市,宝安区,215504.65,-5470.73,2817,2011-02-18,--,,饲料,饲料业务、生猪养殖业务、动保业务、电信增值服务业务,全系猪用饲料研产销、种猪繁育、动物保健、基于电信运营商的计费能力服务、生物医药技术研发应用能力。
1014,2549,凯美特气,湖南凯美特气体股份有限公司,岳阳市,岳阳楼区,37349.57,7089.15,537,2011-02-18,--,,其他化学制品,液体二氧化碳、干冰、氧、氮气、氩气、氢气、液化气、戊烷、燃料气加工,以食品添加剂液体二氧化碳的生产及销售为主，并进行干冰及其他工业气体的生产及销售
1015,2550,千红制药,常州千红生化制药股份有限公司,常州市,新北区,100413.13,21074.38,1164,2011-02-18,--,,化学原料药,活性酶、多糖,药品生产许可证范围内的冻干粉、冻干粉针剂(含抗肿瘤药)、小容量注射剂(非最终灭菌)、片剂、硬胶囊剂、颗粒剂、原料药的研发、生产和销售。
1016,2551,尚荣医疗,深圳市尚荣医疗股份有限公司,深圳市,龙岗区,134788.8,10258.45,1929,2011-02-25,--,,医疗器械,医疗专业工程、医疗设备销售、医院后勤托管服务、总承包管理服务、建造工程收入、医用耗材、设计服务,提供现代化医院建设整体解决方案，具体包括医院整体建设及后勤托管服务、医疗设备的生产与销售、医疗耗材的生产与销售、医院的投资与管理四大业务板块。
1017,2552,*ST宝鼎,宝鼎科技股份有限公司,杭州市,余杭区,21870.13,2518.94,510,2011-02-25,--,,基础件,铸锻件、精细化工新材料,大型铸锻件的研发、生产和销售
1018,2553,南方轴承,江苏南方轴承股份有限公司,常州市,武进区,29205.84,9531.63,890,2011-02-25,--,,汽车零部件,轴承、离合器、皮带轮、配件,开发、制造和销售滚针轴承、单向滑轮总成和摩托车单向离合器等
1019,2554,惠博普,华油惠博普科技股份有限公司,北京市,海淀区,115921.22,2901.83,1243,2011-02-25,--,,油田服务,油气田装备及工程、石化环保装备及服务、油气资源开发及利用,从事油气田开发地面系统的工艺技术研发、系统设计、装备提供、工程技术服务及油气资源开发及利用业务。
1020,2555,三七互娱,芜湖顺荣三七互娱网络科技股份有限公司,芜湖市,南陵县,553481.44,121834.85,2703,2011-03-02,--,,游戏,网络游戏、汽车零部件,从事网页游戏、移动游戏的研发和运营以及汽车塑料燃油箱制造、销售
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201809),净利润(201809),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1021,2556,辉隆股份,安徽辉隆农资集团股份有限公司,合肥市,蜀山区,1262738.05,13934.75,1758,2011-03-02,--,,农资经营,农资产品、化工产品、农副产品,化肥农药内外贸业务和化工产品经营
